# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5514)
GSE1	unnamed (-258382), unnamed (-120617), unnamed (-98044), unnamed (-66076)
GSG1L	unnamed (+223406)
GSK3B	unnamed (-64225), unnamed (-50938), unnamed (-50254), unnamed (-792)
GSN	unnamed (+26571)
GSTK1	unnamed (-14281)
GTF2A1	unnamed (-83105), unnamed (+244886)
GTF2H3	unnamed (-45)
GTPBP2	unnamed (+16046)
GTSF1L	unnamed (-174890)
GUCA2A	unnamed (-31470), unnamed (-1185)
GUCY1A2	unnamed (+61350)
GUCY2F	unnamed (+681016)
GULP1	unnamed (-406453)
H1FOO	unnamed (+54954)
H3F3B	unnamed (-4967)
HAAO	unnamed (-407501)
HABP2	unnamed (-255627)
HACD3	unnamed (+31682)
HACE1	unnamed (-48921), unnamed (+234132), unnamed (+246502)
HAO1	unnamed (+62164), unnamed (+826522)
HAS2	unnamed (-162204), unnamed (+726891)
HASPIN	unnamed (+30967)
HCLS1	unnamed (-2773)
HCRTR1	unnamed (-26681)
HDAC11	unnamed (+60704)
HDAC4	unnamed (-465298), unnamed (-451153), unnamed (-306489), unnamed (+276012), unnamed (+491879)
HDAC9	unnamed (-320306)
HDGF	unnamed (+630)
HDGFL2	unnamed (+39510)
HDX	unnamed (+152788)
HEBP2	unnamed (+151634)
HECTD4	unnamed (+234261)
HEG1	unnamed (-81737), unnamed (-7226)
HELZ	unnamed (-82222)
HENMT1	unnamed (+69709), unnamed (+158145)
HEPH	unnamed (-65027)
HERC1	unnamed (-23370)
HERC3	unnamed (+61028)
HERC4	unnamed (+431)
HERPUD2	unnamed (-61)
HES1	unnamed (-353627)
HEXDC	unnamed (-14463)
HGH1	unnamed (-11933)
HGNC:24955	unnamed (+291796)
HHAT	unnamed (-62867), unnamed (+325110)
HHIPL2	unnamed (+409345)
HHLA2	unnamed (+171504)
HIF1A	unnamed (-24168), unnamed (-2299), unnamed (+57696)
HINT3	unnamed (-89019)
HIP1	unnamed (+9628)
HIP1R	unnamed (-26346)
HIPK2	unnamed (+174248)
HIPK3	unnamed (+174124)
HIST1H1C	unnamed (+1119)
HIST1H2AG	unnamed (-163)
HIST1H2BB	unnamed (-26)
HIST1H2BJ	unnamed (-129), unnamed (+152353)
HIST1H3C	unnamed (-1728), unnamed (+9898)
HIST2H3PS2	unnamed (+641328), unnamed (+643033), unnamed (+650292), unnamed (+652866), unnamed (+656968), unnamed (+660325), unnamed (+666324), unnamed (+672926), unnamed (+674537), unnamed (+680083), unnamed (+685093), unnamed (+688561), unnamed (+691264), unnamed (+692833), unnamed (+703267), unnamed (+710857), unnamed (+712809), unnamed (+720954)
HIST3H3	unnamed (+4168)
HIVEP3	unnamed (+29624), unnamed (+253041)
HK1	unnamed (+63258)
HLA-DMB	unnamed (+79660)
HLA-DRB1	unnamed (+29875)
HLA-DRB5	unnamed (-29686)
HLCS	unnamed (-23778)
HLX	unnamed (+714500), unnamed (+732924)
HM13	unnamed (+58429)
HMBOX1	unnamed (+99148)
HMCN1	unnamed (-351018), unnamed (-169040), unnamed (+61800)
HMCN2	unnamed (+79557)
HMG20A	unnamed (+110110), unnamed (+131537)
HMGA1	unnamed (-1337)
HMGA2	unnamed (-45393)
HMGCR	unnamed (-100205)
HMGCS1	unnamed (+162)
HMGCS2	unnamed (+53999)
HMGN1	unnamed (+27320)
HMGN5	unnamed (-553442)
HMHB1	unnamed (+112980)
HMOX1	unnamed (-37379), unnamed (-36906)
HNF4A	unnamed (+3712)
HNMT	unnamed (-35120)
HNRNPA0	unnamed (-6449), unnamed (-206)
HNRNPA1	unnamed (-766)
HNRNPA3	unnamed (-44122)
HNRNPC	unnamed (+83672)
HNRNPD	unnamed (-305), unnamed (+875619)
HNRNPF	unnamed (-2684), unnamed (+19332)
HNRNPLL	unnamed (+102696)
HOOK3	unnamed (+18191)
HOPX	unnamed (+151203)
HOXC13	unnamed (-93335)
HPCAL1	unnamed (+64763)
HPCAL4	unnamed (-28573)
HPGD	unnamed (+139536)
HPS5	unnamed (+8917)
HRH3	unnamed (+32515)
HS1BP3	unnamed (+66504), unnamed (+73078), unnamed (+83419), unnamed (+117415), unnamed (+117820)
HS2ST1	unnamed (+226561)
HS3ST1	unnamed (+655048)
HS3ST3A1	unnamed (+335196)
HS3ST3B1	unnamed (+32604), unnamed (+437305)
HS3ST4	unnamed (+406885)
HS6ST1	unnamed (-872910), unnamed (-559236), unnamed (-44360), unnamed (+26858)
HSD17B1	unnamed (-533)
HSD17B3	unnamed (+200537)
HSD17B7	unnamed (+147435), unnamed (+268667)
HSDL2	unnamed (-38102)
HSF2	unnamed (-828603)
HSP90B1	unnamed (-204)
HSPA9	unnamed (-149512)
HSPBAP1	unnamed (+25756)
HSPD1	unnamed (+29)
HSPE1	unnamed (+24)
HSPE1-MOB4	unnamed (-395)
HSPH1	unnamed (+34978)
HTR1E	unnamed (-213369)
HTR2C	unnamed (-652746)
HTR5A	unnamed (+138509)
HTT	unnamed (+134069)
HUNK	unnamed (+157128)
HYAL4	unnamed (-28047)
HYI	unnamed (-21986), unnamed (-19194), unnamed (-18840)
IBTK	unnamed (+224965)
ICA1	unnamed (+350739)
ICAM2	unnamed (-35781)
ICE1	unnamed (-117440)
ID1	unnamed (-32426)
IDE	unnamed (+163392)
IER3	unnamed (-103133), unnamed (-99743), unnamed (-62078)
IER5	unnamed (+29077)
IFFO2	unnamed (-96017), unnamed (-53654), unnamed (-9395)
IFNAR1	unnamed (+58301)
IFNG	unnamed (+489738)
IFNGR2	unnamed (-20227)
IFNK	unnamed (-102878)
IFNL1	unnamed (+7192)
IFNLR1	unnamed (-79257)
IGDCC3	unnamed (+12583)
IGF1	unnamed (+106566)
IGF1R	unnamed (-39174), unnamed (-714), unnamed (+78800)
IGF2	unnamed (+86040)
IGF2BP1	unnamed (+25188)
IGF2BP3	unnamed (-15829)
IGFBP3	unnamed (-224491), unnamed (-217964), unnamed (-108117)
IGFBP7	unnamed (-795734)
IGFL1	unnamed (-26187), unnamed (-18194), unnamed (-4740)
IGFL2	unnamed (+55783), unnamed (+63776)
IGFN1	unnamed (-20026)
IGLL1	unnamed (+178946)
IGSF1	unnamed (+151888)
IGSF23	unnamed (+12477)
IGSF5	unnamed (-7586)
IGSF8	unnamed (-68)
IKZF2	unnamed (+64930)
IL10	unnamed (+77929)
IL12A	unnamed (-133818)
IL15	unnamed (+769555)
IL1R1	unnamed (+13653)
IL1R2	unnamed (-228743), unnamed (-18767), unnamed (-18385)
IL1RL2	unnamed (-30534)
IL20RA	unnamed (-72266)
IL22RA2	unnamed (+56418)
IL31RA	unnamed (+76775)
IL6	unnamed (-152876), unnamed (-142351), unnamed (-57768), unnamed (-56747)
IL6ST	unnamed (-738832), unnamed (-470902), unnamed (-452495), unnamed (-216551), unnamed (+66712)
ILDR1	unnamed (+125162)
IMPA1	unnamed (+127965)
IMPA2	unnamed (-292)
IMPAD1	unnamed (-212174)
IMPG2	unnamed (-120835), unnamed (+284086)
ING2	unnamed (+49021)
INHBA	unnamed (-404607), unnamed (-50919), unnamed (+597988)
INHBB	unnamed (+85429), unnamed (+145171)
INO80	unnamed (+84352)
INO80C	unnamed (-10059)
INPP4A	unnamed (-39993)
INPP4B	unnamed (-238436), unnamed (+440143)
INPP5A	unnamed (-89208), unnamed (-61717), unnamed (-23296), unnamed (-224)
INPP5F	unnamed (-60037), unnamed (+60194)
INSIG1	unnamed (-88943), unnamed (+52), unnamed (+37824), unnamed (+109292)
INSR	unnamed (+36567), unnamed (+140840)
INTS14	unnamed (+49094)
INTU	unnamed (+65015)
INVS	unnamed (+114687)
IP6K2	unnamed (-92638)
IPMK	unnamed (+779909)
IPO9	unnamed (-133892)
IQCF6	unnamed (+22839)
IQGAP1	unnamed (+24848)
IQSEC3	unnamed (-56471)
IRF1	unnamed (+45366), unnamed (+75538)
IRF2BP2	unnamed (-377936), unnamed (-7856), unnamed (+9351), unnamed (+69313)
IRF2BPL	unnamed (+75070)
IRGM	unnamed (-7850)
IRS1	unnamed (+315631), unnamed (+321389), unnamed (+332460)
IRS2	unnamed (+276381), unnamed (+512172), unnamed (+529473), unnamed (+542967), unnamed (+631145)
IRS4	unnamed (-64647)
IRX1	unnamed (-816332), unnamed (-271929), unnamed (-203544)
IRX2	unnamed (+821769)
IRX4	unnamed (-42909)
ISG20	unnamed (+11485)
ISPD	unnamed (-639)
ISX	unnamed (-16353)
ISYNA1	unnamed (-4021)
ITGA2	unnamed (-189247)
ITGA4	unnamed (-181411)
ITGA6	unnamed (-228743), unnamed (-143391)
ITGAE	unnamed (+46373)
ITGAV	unnamed (-45536)
ITGB1BP1	unnamed (+36338)
ITGB2	unnamed (-74)
ITGB5	unnamed (+52281), unnamed (+53394), unnamed (+106820), unnamed (+112760)
ITGB7	unnamed (-13761)
ITGBL1	unnamed (+3487), unnamed (+817309)
ITIH5	unnamed (+77988), unnamed (+92821)
ITLN1	unnamed (-64432)
ITLN2	unnamed (+5197)
ITPK1	unnamed (-16915)
ITPKA	unnamed (+17875)
ITPKB	unnamed (+58970)
ITPR1	unnamed (+30174)
ITPR2	unnamed (+514362)
ITSN1	unnamed (-306)
IVNS1ABP	unnamed (-248182), unnamed (-66204)
JADE1	unnamed (-486198), unnamed (-454995), unnamed (-425373), unnamed (-15224), unnamed (+176682)
JADE2	unnamed (-19369)
JAK1	unnamed (-16830)
JCAD	unnamed (-436)
JDP2	unnamed (-138044), unnamed (+21001)
JMJD1C	unnamed (-49256)
JMJD4	unnamed (-52687)
JPH3	unnamed (-100499)
JPT1	unnamed (+39)
JPT2	unnamed (+20916)
JUN	unnamed (+101)
JUND	unnamed (-163)
JUP	unnamed (-349)
KAAG1	unnamed (-43285)
KALRN	unnamed (+618979)
KANK1	unnamed (+53299), unnamed (+304216)
KANK4	unnamed (+81247), unnamed (+88476)
KANSL1	unnamed (+192490)
KANSL1L	unnamed (+134437)
KAT14	unnamed (+2594)
KAT6A	unnamed (+85598)
KATNAL1	unnamed (+284128)
KATNB1	unnamed (+62446)
KATNBL1	unnamed (+26844)
KAZN	unnamed (-840625), unnamed (-105949)
KBTBD11	unnamed (-129465), unnamed (-100300)
KBTBD8	unnamed (+351512)
KCMF1	unnamed (-12820)
KCNAB2	unnamed (-24246)
KCNC3	unnamed (-3170)
KCND3	unnamed (+210518)
KCNE1B	unnamed (-637272), unnamed (-635518), unnamed (-632538), unnamed (-626282), unnamed (-624389), unnamed (-622601), unnamed (-613703), unnamed (-612850), unnamed (-611629), unnamed (-605469), unnamed (-604693), unnamed (-590761), unnamed (-576007), unnamed (-570784), unnamed (-409717), unnamed (-404875), unnamed (-401062), unnamed (-390508), unnamed (-387288), unnamed (-383794), unnamed (-379211), unnamed (-134433), unnamed (-127039), unnamed (-123511), unnamed (-116531), unnamed (-114785), unnamed (-108763), unnamed (-107150), unnamed (-105507), unnamed (-96609), unnamed (-88301), unnamed (-87538)
KCNE4	unnamed (-92357)
KCNG2	unnamed (-178676)
KCNH2	unnamed (+68155)
KCNH7	unnamed (-725551), unnamed (-509674)
KCNJ15	unnamed (+366247)
KCNJ18	unnamed (+161662), unnamed (+170716), unnamed (+171711), unnamed (+178218), unnamed (+180172), unnamed (+181292), unnamed (+189601), unnamed (+191272), unnamed (+193360), unnamed (+194675), unnamed (+200057), unnamed (+202076), unnamed (+211863), unnamed (+213905), unnamed (+231275), unnamed (+236230), unnamed (+245901), unnamed (+247273), unnamed (+253485), unnamed (+267885), unnamed (+276853), unnamed (+277711), unnamed (+279764), unnamed (+280554), unnamed (+283463), unnamed (+284292), unnamed (+287940), unnamed (+288671), unnamed (+290708), unnamed (+292828), unnamed (+296641), unnamed (+297391), unnamed (+298219), unnamed (+299052)
KCNK12	unnamed (-157237), unnamed (-127725), unnamed (+128705)
KCNK9	unnamed (-255932), unnamed (+443083)
KCNMA1	unnamed (-229538), unnamed (+117677), unnamed (+165946), unnamed (+429955)
KCNMB2	unnamed (-813581), unnamed (-677267)
KCNN3	unnamed (+102199), unnamed (+155956)
KCNQ1	unnamed (+26928), unnamed (+302819)
KCNS1	unnamed (+88094)
KCNS2	unnamed (+399027), unnamed (+408551)
KCNS3	unnamed (+421863), unnamed (+422198)
KCNT2	unnamed (+52599)
KCNV1	unnamed (+238020)
KCTD12	unnamed (+862491)
KCTD7	unnamed (-262367), unnamed (+100001), unnamed (+111965)
KDM2A	unnamed (+129006)
KDM4C	unnamed (+123), unnamed (+386968)
KDM6B	unnamed (+2467)
KDM8	unnamed (-81)
KDR	unnamed (+47736)
KHDRBS2	unnamed (-381476)
KHDRBS3	unnamed (-679120), unnamed (-678779), unnamed (-599041), unnamed (+509221), unnamed (+676986)
KHSRP	unnamed (-341)
KIAA0040	unnamed (-75373)
KIAA0556	unnamed (+289951)
KIAA1024	unnamed (+6789)
KIAA1217	unnamed (+411725)
KIAA1456	unnamed (+187898)
KIAA1549L	unnamed (-110564)
KIAA1586	unnamed (-65962)
KIAA2013	unnamed (+18057)
KIF13B	unnamed (-85783), unnamed (-24053), unnamed (+200062)
KIF14	unnamed (-38678)
KIF16B	unnamed (+314311)
KIF18B	unnamed (+7129)
KIF1A	unnamed (+7339)
KIF1B	unnamed (-125516)
KIF21A	unnamed (+380362)
KIF21B	unnamed (-62426)
KIF26A	unnamed (+32866), unnamed (+76670)
KIF4B	unnamed (+141941)
KIF5B	unnamed (+92602)
KIF5C	unnamed (+58330)
KIFC3	unnamed (-5164), unnamed (+4847)
KISS1	unnamed (+1100)
KIT	unnamed (+419935)
KITLG	unnamed (-551075)
KL	unnamed (-263604)
KLC1	unnamed (+78491)
KLF10	unnamed (-133195)
KLF11	unnamed (-15015)
KLF12	unnamed (+872613), unnamed (+898180), unnamed (+898601)
KLF13	unnamed (+71274)
KLF15	unnamed (+90013)
KLF2	unnamed (-24513)
KLF4	unnamed (+200735)
KLF5	unnamed (+37656), unnamed (+38077), unnamed (+63644)
KLF6	unnamed (-239784), unnamed (-40164), unnamed (+116763), unnamed (+160731), unnamed (+161240), unnamed (+284686), unnamed (+373997)
KLF8	unnamed (-201394)
KLHDC4	unnamed (-87601), unnamed (-24208)
KLHL24	unnamed (-40638)
KLHL26	unnamed (-546)
KLHL29	unnamed (+101638)
KLHL4	unnamed (+109317)
KLHL5	unnamed (-18843)
KLHL6	unnamed (-39296)
KMO	unnamed (+105152)
KMT2A	unnamed (-11894), unnamed (-11477)
KMT2C	unnamed (-228830), unnamed (+56053)
KMT5C	unnamed (-381)
KPNB1	unnamed (-207)
KPRP	unnamed (-38838)
KRAS	unnamed (-373)
KRBOX4	unnamed (-121258)
KREMEN1	unnamed (-89699), unnamed (-72915)
KRT1	unnamed (+7852)
KRT13	unnamed (-1148)
KRT18	unnamed (-3097)
KRT19	unnamed (-7996)
KRT2	unnamed (-20391)
KRT7	unnamed (-1996)
KRT78	unnamed (-76313)
KRT8	unnamed (+1162)
KRT9	unnamed (+35754)
KRTAP21-2	unnamed (+5103)
KRTAP21-3	unnamed (-23353)
KRTAP5-5	unnamed (+40923)
KRTAP5-6	unnamed (-26497)
KSR1	unnamed (+62488)
KTI12	unnamed (-15637)
KYNU	unnamed (-616847)
L1TD1	unnamed (-242599), unnamed (+36107), unnamed (+43336)
L3MBTL1	unnamed (+6591)
L3MBTL4	unnamed (+228495)
LAMA1	unnamed (-55128)
LAMA5	unnamed (-10892), unnamed (+5517)
LAMB1	unnamed (+24226), unnamed (+50416)
LAMB2	unnamed (+364)
LAMC1	unnamed (-54711), unnamed (+70819)
LAMC2	unnamed (-92009), unnamed (+86199), unnamed (+93200), unnamed (+95596)
LAPTM5	unnamed (+19560)
LARP4B	unnamed (-595), unnamed (+213391), unnamed (+231115), unnamed (+231426)
LASP1	unnamed (+10170)
LAT	unnamed (+318656)
LATS2	unnamed (+191), unnamed (+86207)
LBH	unnamed (-12659), unnamed (+49719)
LBR	unnamed (+93418)
LBX1	unnamed (-10001)
LCAT	unnamed (-22247)
LCLAT1	unnamed (-166007)
LCP1	unnamed (-268134), unnamed (-177614)
LCTL	unnamed (-114321)
LDLRAD4	unnamed (-15808), unnamed (+396862)
LEO1	unnamed (+105500)
LEPR	unnamed (-2711), unnamed (-321)
LEPROT	unnamed (-2775), unnamed (-385)
LGALS9	unnamed (-95300)
LGI1	unnamed (-10767)
LGI2	unnamed (+157945)
LGR6	unnamed (+11539)
LHFPL5	unnamed (+90544)
LHFPL6	unnamed (+40709)
LHPP	unnamed (+148604)
LHX2	unnamed (+67235), unnamed (+67695), unnamed (+116803)
LHX4	unnamed (+970)
LHX9	unnamed (-129409), unnamed (+189910)
LIFR	unnamed (-43381), unnamed (+129415)
LIMA1	unnamed (+40630), unnamed (+81366)
LIMK1	unnamed (+70127)
LIMK2	unnamed (+5726)
LIMS1	unnamed (-120768)
LIMS4	unnamed (+101248)
LIN28B	unnamed (-48208)
LIN52	unnamed (+58123)
LIN54	unnamed (-2211)
LINC00116	unnamed (-126407)
LINC00672	unnamed (-45139)
LINGO1	unnamed (-67194), unnamed (+80279), unnamed (+101706)
LINGO2	unnamed (+334996)
LIPC	unnamed (-42163), unnamed (+38158)
LIPH	unnamed (-5483)
LITAF	unnamed (-45280)
LLGL2	unnamed (+27520)
LMBRD2	unnamed (-4886), unnamed (-4435)
LMF1	unnamed (+112380)
LMLN	unnamed (+214192)
LMO2	unnamed (-148496)
LMO4	unnamed (-187233)
LMO7	unnamed (+387241)
LMTK3	unnamed (+11124)
LMX1B	unnamed (-82258)
LNX2	unnamed (+37257)
LOR	unnamed (-9035)
LOXHD1	unnamed (+13307)
LOXL2	unnamed (-48402), unnamed (-47346), unnamed (+71367)
LOXL4	unnamed (-132328)
LPAR3	unnamed (-94385)
LPCAT1	unnamed (-15963), unnamed (+7541), unnamed (+9295)
LPCAT3	unnamed (-179)
LPIN1	unnamed (+89351)
LPIN2	unnamed (+98711)
LPL	unnamed (+152118)
LPP	unnamed (-371408)
LRCH1	unnamed (-164298), unnamed (-73778), unnamed (+131515)
LRCOL1	unnamed (+14152), unnamed (+69345)
LRFN1	unnamed (+11819)
LRP1	unnamed (+63367)
LRP1B	unnamed (-128950)
LRP2	unnamed (-30649), unnamed (+4562)
LRP8	unnamed (+44531), unnamed (+70536)
LRRC1	unnamed (+167088)
LRRC18	unnamed (+164740)
LRRC27	unnamed (+32237), unnamed (+32636)
LRRC29	unnamed (+19845)
LRRC3	unnamed (-59223)
LRRC37A3	unnamed (+21533), unnamed (+247139)
LRRC45	unnamed (+2838)
LRRC47	unnamed (-24710)
LRRC4C	unnamed (-151493)
LRRC70	unnamed (+71601)
LRRC8E	unnamed (-17750)
LRRCC1	unnamed (+347)
LRRFIP1	unnamed (-77872), unnamed (+37049)
LRRK1	unnamed (+234743)
LRRN1	unnamed (-90113)
LRRN2	unnamed (+56372), unnamed (+59408)
LRTM1	unnamed (-321297), unnamed (-133780), unnamed (-26202)
LSG1	unnamed (-437589), unnamed (-180077), unnamed (-68929)
LSM14A	unnamed (+761)
LSR	unnamed (+169)
LTBP1	unnamed (-30576), unnamed (+261228)
LTK	unnamed (+2056)
LUZP2	unnamed (-865797)
LUZP4	unnamed (+113601)
LY6E	unnamed (-26858), unnamed (-24967), unnamed (-24509)
LYG1	unnamed (-12625)
LYPD6B	unnamed (-104887)
LYPLAL1	unnamed (+344869)
LYRM1	unnamed (+686)
LYRM4	unnamed (+134367)
LYZL1	unnamed (-297519), unnamed (-262894), unnamed (+67955)
LZTS1	unnamed (-528429), unnamed (+66216)
MAB21L1	unnamed (-284829)
MACF1	unnamed (+130128)
MAFB	unnamed (-295861)
MAFK	unnamed (+6419)
MAGEC1	unnamed (-145857)
MAGI1	unnamed (+427013)
MAGI2	unnamed (-53125)
MAGOH	unnamed (-44873), unnamed (-18868)
MAGOHB	unnamed (-21005)
MAL2	unnamed (+9915)
MAML2	unnamed (+260496)
MAML3	unnamed (-134707), unnamed (-134224), unnamed (+63813)
MANBA	unnamed (-67316), unnamed (+55271)
MANBAL	unnamed (-17422)
MAOA	unnamed (-677102)
MAP1LC3B2	unnamed (+168463)
MAP1LC3C	unnamed (-6270)
MAP2	unnamed (-351577)
MAP2K4	unnamed (+174789)
MAP2K6	unnamed (-20184)
MAP3K1	unnamed (-604030), unnamed (-368086), unnamed (-349679), unnamed (-81749)
MAP3K14	unnamed (-81108)
MAP3K20	unnamed (-22466)
MAP3K7	unnamed (+217782)
MAP3K8	unnamed (-10527)
MAP3K9	unnamed (+143231)
MAP4K3	unnamed (-32780), unnamed (+115737)
MAP4K4	unnamed (+65398), unnamed (+275374), unnamed (+275756)
MAP6D1	unnamed (-20215)
MAP7D1	unnamed (+41046)
MAPK10	unnamed (+124642), unnamed (+849819)
MAPK4	unnamed (-43400), unnamed (+42628), unnamed (+51483)
MAPK7	unnamed (+595)
MAPK8	unnamed (+159422)
MAPK8IP3	unnamed (-7048)
MAPK9	unnamed (-8005), unnamed (+32678)
MAPKAP1	unnamed (+427090)
MAPKAPK2	unnamed (+9528)
MARCH5	unnamed (+119521)
MARCH8	unnamed (-59232)
MARCH9	unnamed (-2618)
MARCKS	unnamed (-644696)
MARK1	unnamed (-97927)
MARK2	unnamed (-35709), unnamed (+12979)
MAST4	unnamed (-386777)
MATN1	unnamed (-14673)
MB21D2	unnamed (+38483), unnamed (+67554)
MBD2	unnamed (+928223)
MBD3L5	unnamed (-118874)
MBD6	unnamed (-2007)
MBIP	unnamed (+142117)
MBNL2	unnamed (-203585), unnamed (-94285), unnamed (-42605), unnamed (+116805)
MBNL3	unnamed (+203329)
MBOAT2	unnamed (-99416)
MBP	unnamed (-105134)
MBTD1	unnamed (-218)
MC1R	unnamed (-13039)
MC2R	unnamed (-189724)
MCAM	unnamed (-2129)
MCCC2	unnamed (-21791), unnamed (-15166), unnamed (-9189)
MCF2L	unnamed (-123485), unnamed (-1355)
MCL1	unnamed (+27250), unnamed (+29010)
MCM5	unnamed (+111938)
MCM7	unnamed (+388)
MCMBP	unnamed (+86463)
MCOLN2	unnamed (+36396)
MCPH1	unnamed (+152520)
MCTP2	unnamed (-268612), unnamed (+395276)
MCUB	unnamed (+73141)
MCUR1	unnamed (-49258)
MDC1	unnamed (+11178)
MDFIC	unnamed (+153244)
MDGA2	unnamed (-447646)
MDH1	unnamed (+25566), unnamed (+26116), unnamed (+73481)
MDM4	unnamed (+46414), unnamed (+49450)
MECR	unnamed (+3275), unnamed (+3621)
MED12L	unnamed (+68667), unnamed (+69045)
MED15	unnamed (+60056), unnamed (+61534)
MED27	unnamed (+334934)
MED30	unnamed (+327146)
MED6	unnamed (-65613)
MEDAG	unnamed (+221219)
MEF2C	unnamed (-522027)
MEGF6	unnamed (+63169), unnamed (+141040)
MEST	unnamed (-2817)
MET	unnamed (+108650)
METRNL	unnamed (+167560)
METTL11B	unnamed (+348138)
METTL4	unnamed (+268539), unnamed (+736332)
METTL8	unnamed (-48264)
METTL9	unnamed (-87299), unnamed (-86823)
MEX3C	unnamed (-30523)
MFAP5	unnamed (-18337)
MFHAS1	unnamed (-49077)
MFSD1	unnamed (+830453), unnamed (+982699)
MFSD6	unnamed (+88303)
MGAT3	unnamed (-28551)
MGAT4A	unnamed (-10022)
MGAT5	unnamed (-232156)
MGLL	unnamed (+76146)
MGME1	unnamed (-39646)
MGP	unnamed (-46327), unnamed (-43298)
MGST2	unnamed (+424603)
MICAL2	unnamed (-90370), unnamed (-66260)
MICAL3	unnamed (+216380)
MICALL1	unnamed (-18476)
MICALL2	unnamed (+164056)
MID1IP1	unnamed (+271816), unnamed (+772818)
MIER3	unnamed (-120560), unnamed (-117521)
MIGA1	unnamed (+82029)
MILR1	unnamed (-26986), unnamed (-5811)
MINDY2	unnamed (+22809)
MINPP1	unnamed (+87381)
MIS18A	unnamed (+248626)
MIS18BP1	unnamed (+105687)
MISP	unnamed (+31420)
MKI67	unnamed (-338170), unnamed (+76904)
MLIP	unnamed (-149380), unnamed (+141181)
MLN	unnamed (-267762), unnamed (-36564)
MME	unnamed (+191515)
MMEL1	unnamed (-275632), unnamed (-219233)
MMP10	unnamed (+49433)
MMP17	unnamed (+32527)
MMP8	unnamed (-6241)
MMRN1	unnamed (+295266), unnamed (+848620)
MNT	unnamed (+1265)
MOAP1	unnamed (+52205)
MOCOS	unnamed (-45569)
MOCS2	unnamed (+4)
MOGAT1	unnamed (+84886), unnamed (+85390)
MON1B	unnamed (-54532)
MON2	unnamed (+399936)
MPC1	unnamed (-124801)
MPDZ	unnamed (+97743)
MPHOSPH8	unnamed (+5807)
MPND	unnamed (+31668), unnamed (+47724)
MPP6	unnamed (+160660)
MPPE1	unnamed (+49197)
MPZL1	unnamed (-84472), unnamed (+40734), unnamed (+74330), unnamed (+100269)
MREG	unnamed (+536917)
MRGPRX1	unnamed (-23524)
MRGPRX2	unnamed (+102155)
MRLN	unnamed (-126619)
MRO	unnamed (+208503), unnamed (+217358)
MRPL15	unnamed (+160336)
MRPL23	unnamed (-7362), unnamed (+107920)
MRPL3	unnamed (-455370)
MRPL33	unnamed (+27619)
MRPL36	unnamed (+259955)
MRPL39	unnamed (+618370)
MRPS12	unnamed (-474)
MRPS23	unnamed (-31083)
MRPS36	unnamed (-8013)
MRPS6	unnamed (-125692), unnamed (-88151)
MRS2	unnamed (+48845)
MS4A1	unnamed (-8608)
MS4A5	unnamed (+17650)
MSH2	unnamed (+39265)
MSH3	unnamed (+390)
MSH6	unnamed (-84418), unnamed (-54906)
MSI1	unnamed (+12335)
MSI2	unnamed (+36809)
MSL2	unnamed (+124671)
MSMB	unnamed (-57982)
MSN	unnamed (+29057)
MSRB1	unnamed (-6645)
MSRB3	unnamed (+500424)
MSX2	unnamed (-387133)
MTA3	unnamed (+125201)
MTCL1	unnamed (+4566)
MTFR1	unnamed (+150726)
MTG2	unnamed (+4695)
MTHFD1L	unnamed (+16606)
MTHFS	unnamed (+457744)
MTIF3	unnamed (-132583)
MTMR12	unnamed (+88885)
MTMR2	unnamed (-158389)
MTMR7	unnamed (-83620)
MTNR1A	unnamed (-66879)
MTPAP	unnamed (-74091)
MTRNR2L1	unnamed (-668926), unnamed (-659872), unnamed (-658877), unnamed (-652370), unnamed (-650416), unnamed (-649296), unnamed (-640987), unnamed (-639316), unnamed (-637228), unnamed (-635913), unnamed (-630531), unnamed (-628512), unnamed (-618725), unnamed (-616683), unnamed (-599313), unnamed (-594358), unnamed (-584687), unnamed (-583315), unnamed (-577103), unnamed (-562703), unnamed (-553735), unnamed (-552877), unnamed (-550824), unnamed (-550034), unnamed (-547125), unnamed (-546296), unnamed (-542648), unnamed (-541917), unnamed (-539880), unnamed (-537760), unnamed (-533947), unnamed (-533197), unnamed (-532369), unnamed (-531536), unnamed (+493331)
MTRNR2L11	unnamed (-696551)
MTSS1L	unnamed (-62386), unnamed (-8199)
MTUS1	unnamed (-69100)
MTX2	unnamed (+899022)
MUC12	unnamed (-11257)
MUC15	unnamed (-129392)
MUC20	unnamed (-20813), unnamed (+54803), unnamed (+55392), unnamed (+56680)
MUC3A	unnamed (+8811)
MUC4	unnamed (+34715), unnamed (+36003), unnamed (+36592)
MUC6	unnamed (+18959), unnamed (+19880)
MVB12B	unnamed (+205336)
MXI1	unnamed (+18844)
MYADM	unnamed (-1685)
MYC	unnamed (+74144), unnamed (+75382), unnamed (+83528), unnamed (+83923), unnamed (+97201), unnamed (+588689)
MYCN	unnamed (-192727), unnamed (-139462), unnamed (+311876), unnamed (+468326), unnamed (+680202)
MYH10	unnamed (-150)
MYH15	unnamed (+55333)
MYH3	unnamed (-11101)
MYH9	unnamed (+19162), unnamed (+58467)
MYL10	unnamed (+250207)
MYL12A	unnamed (-4733)
